team_code,school,market,color
1068,Elon,Elon,#98002e
1092,Gardner-Webb,Gardner-Webb,#c41230
1104,Grand Canyon,Grand Canyon,#4e0c76
1157,Kennesaw St.,Kennesaw State,#ecbb09
1320,Presbyterian,Presbyterian,#0035AD
1356,Seattle U,Seattle,#c3362e
2678,Ark.-Pine Bluff,Arkansas-Pine Bluff,#f29103
2699,IUPUI,IUPUI,#dab36b
2707,UMKC,UMKC,#e0ae00
2711,North Florida,North Florida,#001a49
2743,Incarnate Word,Incarnate Word,#d72c23
2915,Wofford,Wofford,#886E4C
10411,USC Upstate,USC Upstate,#00682e
14927,Belmont,Belmont,#00205c
19651,High Point,High Point,#243a94
26172,A&M-Corpus Christi,Texas A&M-CC,#013197
28600,Lipscomb,Lipscomb,#f4b53b
28755,FGCU,Florida Gulf Coast,#00287A
30024,Utah Valley,Utah Valley,#00460f
30135,California Baptist,California Baptist,#002554
