season,tm_code,tm,minutes,poss,poss_per_40,tm_off_eff,tm_def_eff,tm_net_eff,tm_efg_pct,tm_to_pct,tm_orb_pct,tm_ftm_rate,opp_efg_pct,opp_to_pct,tm_drb_pct,opp_ftm_rate
2018,-1,NON-D1 TMS,17855,33987.125000000015,76.1402968356203,77.805933864661952,122.93773009632318,-45.131796231661234,41.550138338443134,24.109129560090757,22.540493531905643,0.15770582517011889,58.945373316184934,16.906402056661154,62.5567895002524,0.2352602721180532
2018,2,Abilene Christian,1250,2096.0375000000004,67.073200000000014,110.30337004943851,93.318941097189324,16.984428952249182,54.028571428571425,17.747774073698583,30.503455083909181,0.24057142857142857,48.482932996207332,24.379334816290257,72.535211267605632,0.26675094816687739
2018,5,Akron,1285,2191.1749999999997,68.207782101167311,101.5436923112029,92.416169406825119,9.12752290437779,49.2059290629963,17.159743060230241,26.013513513513516,0.19375330862890419,45.029713668287414,19.532899015368468,70.515970515970523,0.19340896812533764
2018,6,Alabama A&M,1295,2181.1875,67.372586872586865,88.8506834006705,104.759448694805,-15.908765294134502,45.766463752075268,22.327287314822776,28.01047120418848,0.1571665744327615,53.670520231213871,20.997736324823059,67.888138862102224,0.24739884393063583
2018,7,Alabama St.,1170,2025.0874999999996,69.233760683760664,96.8847025128544,103.99550636700884,-7.1108038541544518,46.581972171808836,20.739844574617152,32.043204320432046,0.25529340592861466,52.088452088452087,21.924978550309561,67.857142857142861,0.25184275184275184
2018,8,Alabama,1240,2173.7499999999995,70.120967741935473,103.59976998274874,102.26566992524442,1.3341000575043132,50.936967632027255,19.413456009200694,31.107044830741081,0.26007950028392957,49.159891598915991,17.113283496262223,72.453498671390619,0.221680216802168
2018,9,UAB,1250,2079.8,66.5536,104.72160784690834,100.44235022598326,4.2792576209250885,51.124227093872967,17.165112030002881,30.348727615457115,0.20179876335019675,48.669751301330251,18.126742956053466,74.361313868613138,0.23481781376518218
2018,14,Albany (NY),1300,2158.5375000000004,66.416538461538465,99.604477568724178,102.66210339176409,-3.0576258230399049,49.428571428571431,21.032759449395712,27.874885004599815,0.24,51.947690595436832,18.809031578093961,71.66513339466421,0.19421257651641624
2018,17,Alcorn,1205,2060.3375,68.392946058091283,93.625437580008125,102.31333458717322,-8.6878970071650876,47.268907563025209,23.05447529834311,30.912476722532588,0.21248499399759904,50.77288941736029,19.656973675429391,70.108161258603744,0.23781212841854935
2018,23,American,1220,2064.2000000000003,67.678688524590171,104.68946807479892,100.28098052514289,4.4084875496560407,53.223844282238439,18.699738397442108,26.168224299065418,0.25,48.156816851960208,17.730840034880337,72.640610104861764,0.2480983031012288
2018,27,Appalachian St.,1250,2302.6375,73.6844,107.57229481409907,106.39972640070354,1.1725684133955085,52.791068580542266,17.675383120443406,26.801405975395433,0.26103136629452417,52.687038988408851,18.1096677179973,71.019677996422175,0.23709167544783982
2018,28,Arizona St.,1215,2202.8,72.520164609053509,105.86526239331759,99.282731069547836,6.5825313237697465,50.811415780637937,18.658071545305972,32.475598935226266,0.28875209848908784,48.376068376068375,19.248229526057742,73.80952380952381,0.27863247863247864
2018,29,Arizona,1250,2143.2875,68.5852,102.83268110321177,99.24006928608506,3.5926118171267269,49.113082039911312,16.749969381149288,28.27461607949413,0.23946784922394679,50.766961651917406,20.66918227256026,73.862536302032908,0.23952802359882006
2018,30,Arkansas St.,1270,2233.9500000000003,70.360629921259857,102.59853622507218,107.43302222520646,-4.8344860001342909,48.20261437908497,19.919872870923697,33.304721030042913,0.28431372549019607,50.414364640883981,17.368338593075045,70.556552962298028,0.31767955801104975
2018,31,Arkansas,1250,2259.0,72.288,104.69234174413458,99.911465250110666,4.7808764940239046,51.273022751895994,18.2381584772023,28.507596067917785,0.25568797399783316,49.829642248722315,22.974767596281538,65.408805031446533,0.28506530380465644
2018,32,Little Rock,1250,2268.8125,72.602,101.41869369989807,103.71064158012176,-2.2919478802236855,54.534676941315944,22.214264069860334,24.503968253968253,0.2732661529342027,51.750972762645922,19.349329219580728,72.613737734165923,0.27292940522512504
2018,37,Auburn,1250,2189.75,70.072,113.34627240552575,96.951706815846563,16.394565589679186,53.876375065479309,17.81025231190775,33.744493392070481,0.22262964903090623,50.297973778307515,25.025687863911404,67.582938388625593,0.2592371871275328
2018,43,Austin Peay,1335,2393.8624999999993,71.7262172284644,113.28971484368884,100.79944023518479,12.490274608504043,53.737864077669904,16.375209520179212,33.3889816360601,0.24174757281553397,51.385258755880812,21.763990204115739,70.765262252794486,0.23366440146366962
2018,47,Ball St.,1300,2318.5000000000005,71.338461538461559,103.17015311623892,97.606210912227709,5.5639422040112132,52.164383561643831,20.056070735389255,28.133704735376046,0.26739726027397259,46.430367018602311,17.899503989648476,71.428571428571431,0.20915032679738563
2018,48,Charleston So.,1290,2314.2625,71.760077519379848,105.38994604112541,96.358991255313526,9.030954785811895,50.664370078740163,17.889068331703946,31.481481481481481,0.18700787401574803,50.743801652892564,22.987884909339371,72.621184919210052,0.2137741046831956
2018,51,Baylor,1245,2077.4624999999996,66.745783132530107,107.19808420127923,99.4963808010975,7.7017034001817128,50.891364902506965,19.783750609216778,38.086476540938364,0.22284122562674094,48.150322959483269,18.724766391691791,71.189591078066911,0.25073399882560188
2018,61,Bethune-Cookman,1210,2236.85,73.945454545454538,99.202002816460649,96.787893689786983,2.4141091266736705,49.42622950819672,21.369336343518789,34.4206008583691,0.22404371584699453,46.576086956521742,20.609339025862266,69.262981574539367,0.24510869565217391
